num,date,current,volume,T,H,AQI,CO,NO2,O3,PM10,PM2.5,SO2
0,2018/8/2 18:00,0.1,1.83E-07,28.39166667,85.35333333,48,0.45,18,69,39,15,6
1,2018/8/2 19:00,0.1,5.43E-07,26.85,92.23833333,46,0.425,20,69,40,13,6
2,2018/8/2 20:00,0.1,9.03E-07,26.52666667,93.455,43,0.413,24,45,33,13,6
3,2018/8/2 21:00,0.1,1.26E-06,26.84833333,91.55,39,0.387,20,42,32,10,5
4,2018/8/2 22:00,0.1,1.62E-06,27.71333333,86.365,35,0.387,19,40,27,12,5
5,2018/8/2 23:00,0.1,1.98E-06,27.915,85.94,31,0.413,21,37,25,12,5
6,2018/8/3 0:00,0.1,2.34E-06,27.06166667,89.71,32,0.375,14,40,31,10,5
7,2018/8/3 1:00,0.1,2.70E-06,26.80333333,90.15,27,0.375,16,38,26,11,6
8,2018/8/3 2:00,0.1,3.06E-06,26.47666667,88.95666667,30,0.311,17,40,29,10,7
9,2018/8/3 3:00,0.1,3.42E-06,26.78333333,87.52833333,29,0.311,14,41,28,12,7
10,2018/8/3 4:00,0.1,3.78E-06,26.92,88.11333333,28,0.322,15,40,27,14,7
11,2018/8/3 5:00,0.1,4.14E-06,27.88166667,85.575,28,0.333,14,44,27,12,6
12,2018/8/3 6:00,0.1,4.50E-06,31.7,72.04666667,33,0.367,18,47,32,14,6
13,2018/8/3 7:00,0.1,4.86E-06,35.105,60.18333333,36,0.55,25,48,35,15,7
14,2018/8/3 8:00,0.1,5.22E-06,36.50833333,56.38166667,50,0.488,20,62,49,21,8
15,2018/8/3 9:00,0.1,5.58E-06,36.84833333,57.615,51,0.438,15,67,50,20,8
16,2018/8/3 10:00,0.1,5.94E-06,36.27166667,58.355,38,0.388,16,68,37,15,7
17,2018/8/3 11:00,0.1,6.30E-06,34.83166667,64.62666667,38,0.388,10,70,37,12,6
18,2018/8/3 12:00,0.1,6.66E-06,33.825,67.84166667,31,0.35,8,78,30,11,6
19,2018/8/3 13:00,0.1,7.02E-06,31.835,74.615,37,0.337,6,79,36,12,6
20,2018/8/3 14:00,0.1,7.38E-06,31.24333333,78.04333333,35,0.337,4,81,34,11,5
21,2018/8/3 15:00,0.1,7.74E-06,31.185,77.5,38,0.337,5,84,34,16,5
22,2018/8/3 16:00,0.1,8.10E-06,31.82833333,74.89166667,41,0.337,6,93,40,16,5
23,2018/8/3 17:00,0.1,8.46E-06,30.51166667,79.305,41,0.357,8,94,35,13,5
24,2018/8/3 18:00,0.108333333,8.83E-06,28.065,88.98333333,42,0.375,11,82,37,17,5
25,2018/8/3 19:00,0.101666667,9.22E-06,27.65166667,91.00666667,43,0.387,9,81,38,17,4
26,2018/8/3 20:00,0.1,9.58E-06,27.50166667,92.03,45,0.35,10,73,44,16,4
27,2018/8/3 21:00,0.1,9.94E-06,27.365,93.97166667,45,0.325,7,68,44,14,4
28,2018/8/3 22:00,0.165,1.04E-05,27.41666667,93.94666667,45,0.313,7,65,44,15,4
29,2018/8/3 23:00,0.231666667,1.11E-05,27.445,93.54666667,41,0.329,4,57,40,13,4
30,2018/8/4 0:00,0.401666667,1.22E-05,27.53666667,93.87166667,37,0.3,2,59,31,10,4
31,2018/8/4 1:00,0.251666667,1.37E-05,27.49166667,93.69666667,36,0.286,2,61,35,8,4
32,2018/8/4 2:00,0,1.39E-05,27.47727273,92.93181818,34,0.286,2,58,33,10,4
35,2018/8/4 5:00,19.72068966,0.000659507,27.13103448,97.38275862,38,0.3245,4.5,75.5,37,14.5,4
36,2018/8/4 6:00,13.255,0.000700447,27.415,95.755,38,0.3245,4.5,75.5,37,14.5,4
37,2018/8/4 7:00,6.846666667,0.00073761,28.74333333,89.29333333,44,0.363,7,89,43,21,4
38,2018/8/4 8:00,1.483333333,0.00074971,29.945,83.78666667,49,0.363,7,90,48,20,4
40,2018/8/4 10:00,0.323728814,0.000770151,31.7559322,85.03220339,53,0.329,8,86,53,21,5
41,2018/8/4 11:00,0.111666667,0.000770851,33.28166667,74.37833333,54,0.314,9,89,55,25,5
42,2018/8/4 12:00,0.1,0.000771213,32.66333333,73.33166667,56,0.367,6,98,59,26,6
43,2018/8/4 13:00,0.078333333,0.000771528,32.17333333,75.58333333,54,0.329,7,101,55,25,7
44,2018/8/4 14:00,0.103333333,0.000771856,31.22833333,77.80666667,54,0.3,6,98,55,24,5
45,2018/8/4 15:00,0.101666667,0.000772227,30.78333333,79.85333333,53,0.343,6,98,53,22,5
46,2018/8/4 16:00,0.101666667,0.000772588,30.01166667,82.77,52,0.343,6,94,52,26,5
47,2018/8/4 17:00,0.556666667,0.000773426,28.85166667,87.53833333,50,0.329,5,91,49,20,5
48,2018/8/4 18:00,1.953333333,0.000778025,27.995,89.83166667,50,0.313,7,88,49,24,4
49,2018/8/4 19:00,4.065,0.00078837,27.825,91.96,48,0.3,8,88,46,20,4
50,2018/8/4 20:00,8.078333333,0.000809401,27.38,94.76333333,50,0.325,10,85,49,22,4
51,2018/8/4 21:00,10.04,0.000845741,27.53166667,94.925,51,0.288,9,85,50,25,5
52,2018/8/4 22:00,10.27333333,0.000879391,27.64666667,94.85166667,48,0.3,7,95,47,23,5
53,2018/8/4 23:00,12.21166667,0.000921082,27.575,96.06833333,46,0.314,6,104,45,23,4
54,2018/8/5 0:00,12.50833333,0.000965458,27.49166667,97.02,48,0.314,5,107,47,25,4
55,2018/8/5 1:00,15.15333333,0.001013761,27.35666667,97.92666667,53,0.35,7,102,47,19,4
56,2018/8/5 2:00,19.27666667,0.0010778,27.44833333,98.65,53,0.314,3,101,49,21,4
57,2018/8/5 3:00,15.62166667,0.001140243,27.59166667,98.165,52,0.35,4,92,51,19,4
58,2018/8/5 4:00,16.45333333,0.001198637,27.56166667,98.59666667,49.5,0.35,9,79.5,48.5,19,4
59,2018/8/5 5:00,15.94833333,0.001256429,27.62666667,98.33,49.5,0.35,9,79.5,48.5,19,4
60,2018/8/5 6:00,7.508333333,0.001301962,28.34833333,94.55333333,49.5,0.35,9,79.5,48.5,19,4
61,2018/8/5 7:00,2.185,0.00131642,29.775,88.79166667,47,0.35,14,67,46,19,4
62,2018/8/5 8:00,0.825,0.00132092,29.71666667,88.57,47,0.343,13,66,46,20,5
63,2018/8/5 9:00,0.401666667,0.001323116,30.71166667,85.115,49,0.343,13,62,48,21,5
64,2018/8/5 10:00,0.128333333,0.001324071,34.23,73.60166667,54,0.417,12,63,55,18,5
65,2018/8/5 11:00,0.108333333,0.001324442,32.63333333,77.50166667,53,0.357,10,67,54,19,5
66,2018/8/5 12:00,0.128333333,0.001324909,33.31333333,74.68,55,0.329,10,71,58,22,5
67,2018/8/5 13:00,0.1,0.001325289,34.055,73.33,56,0.35,8,77,60,18,4
68,2018/8/5 14:00,0.1,0.001325649,32.725,77.17666667,55,0.363,6,83,58,22,5
69,2018/8/5 15:00,0.126666667,0.001326039,31.33,82.05,53,0.35,7,82,53,21,4
70,2018/8/5 16:00,0.351666667,0.001326762,30.76,84.43166667,51,0.389,7,85,50,19,5
71,2018/8/5 17:00,0.865,0.001328917,29.75,88.175,50,0.367,7,83,49,21,4
72,2018/8/5 18:00,2.055,0.001333964,28.49666667,92.99333333,50,0.378,9,77,49,19,4
73,2018/8/5 19:00,3.175,0.001343658,28.02833333,93.92,48,0.389,12,80,47,20,4
74,2018/8/5 20:00,6.353333333,0.001360286,27.63666667,95.89833333,47,0.378,13,83,46,21,4
75,2018/8/5 21:00,5.106666667,0.001381959,27.63333333,94.39833333,48,0.333,12,73,47,24,4
76,2018/8/5 22:00,3.88,0.001398314,27.475,94.08166667,43,0.322,7,68,42,19,4
77,2018/8/5 23:00,3.703333333,0.001411167,27.21,94.43333333,39,0.325,4,60,38,17,4
78,2018/8/6 0:00,10.67833333,0.00143633,26.80333333,96.75833333,37,0.371,3,55,28,12,3
79,2018/8/6 1:00,18.155,0.001485893,26.38,98.69833333,28,0.329,3,50,27,12,4
87,2018/8/6 9:00,0,0.004832976,36.56440678,61.59491525,33,0.375,9,49,32,12,5
88,2018/8/6 10:00,0,0.004832976,35.32833333,65.27,38,0.3,6,57,37,11,5
89,2018/8/6 11:00,0,0.004832976,34.48666667,67.24333333,38,0.333,6,58,37,14,4
90,2018/8/6 12:00,0,0.004832976,35.07833333,65.59833333,34,0.311,6,59,33,14,5
91,2018/8/6 13:00,0,0.004832976,35.04166667,66.90166667,36,0.3055,6.5,56.5,35,13.5,4.5
92,2018/8/6 14:00,0,0.004832976,33.76666667,70.90833333,38,0.3,7,54,37,13,4
93,2018/8/6 15:00,0,0.004832976,33.16833333,72.88333333,35,0.275,8,49,34,13,4
94,2018/8/6 16:00,0,0.004832976,34.2,69.02333333,33,0.3,8,49,32,12,4
95,2018/8/6 17:00,0,0.004832976,31.41833333,77.38666667,31,0.311,8,51,30,13,5
96,2018/8/6 18:00,0,0.004832976,28.34166667,89.83833333,32,0.333,8,52,31,13,4
97,2018/8/6 19:00,1.108333333,0.004834327,27.81,92.59833333,35,0.333,9,47,34,14,5
98,2018/8/6 20:00,6.23,0.004846485,27.28,94.7,33,0.333,10,42,32,15,5
99,2018/8/6 21:00,15.19666667,0.004883475,27.19833333,95.99333333,29,0.322,11,36,28,14,5
100,2018/8/6 22:00,20.23833333,0.004950554,27.10833333,97.13,29,0.311,13,34,28,12,5
101,2018/8/6 23:00,20.18666667,0.005024133,27.00166667,97.33833333,28,0.337,8,42,27,12,4
102,2018/8/7 0:00,23.385,0.005102388,27.03166667,97.24833333,26,0.343,4,44,25,12,4
103,2018/8/7 1:00,25,0.005187247,26.92833333,97.07333333,28,0.343,3,45,27,9,4
104,2018/8/7 2:00,32.89166667,0.005290651,26.845,97.64333333,27,0.343,4,48,26,11,4
105,2018/8/7 3:00,48.16,0.005439519,26.84166667,98.67333333,29,0.329,3,49,28,14,4
106,2018/8/7 4:00,31.32166667,0.005591974,27.105,98.57333333,28.5,0.3715,7.5,46.5,27.5,12.5,4.5
